image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408708989.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Hardback,4.5,11.05,$,21.5,9781408708989,Art-Photography,dataset/Art-Photography/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4.0,6.80,$,10.5,9780752265629,Art-Photography,dataset/Art-Photography/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408711705.jpg,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,Hardback,4.0,15.14,$,18.0,9781408711705,Art-Photography,dataset/Art-Photography/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883705625.jpg,Moleskine Large Watercolour Album And Notebook,Moleskine,Notebook / blank book,0.0,11.86,$,19.9,9788883705625,Art-Photography,dataset/Art-Photography/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141014081.jpg,The Complete MAUS,Art Spiegelman,Paperback,4.5,17.61,$,21.1,9780141014081,Art-Photography,dataset/Art-Photography/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2500/9781250038821.jpg,Humans of New York,Brandon Stanton,Hardback,4.5,21.46,$,30.4,9781250038821,Art-Photography,dataset/Art-Photography/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141035796.jpg,Ways of Seeing,John Berger,Paperback,4.0,8.36,$,10.3,9780141035796,Art-Photography,dataset/Art-Photography/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849941679.jpg,Millie Marotta's Animal Kingdom,Millie Marotta,Paperback,4.5,11.60,$,12.9,9781849941679,Art-Photography,dataset/Art-Photography/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509858637.jpg,This is Going to Hurt,Adam Kay,Paperback,4.5,7.6,$,11.4,9781509858637,Biography,dataset/Biography/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141986005.jpg,Good Night Stories for Rebel Girls,Elena Favilli,Hardback,4.5,20.86,$,24.0,9780141986005,Biography,dataset/Biography/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241334140.jpg,Becoming,Michelle Obama,Hardback,4.5,24.21,$,26.0,9780241334140,Biography,dataset/Biography/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099511021.jpg,Educated,Tara Westover,Paperback,4.5,9.61,$,11.5,9780099511021,Biography,dataset/Biography/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,$,11.5,9781784701994,Biography,dataset/Biography/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408878729.jpg,Lost Connections,Johann Hari,Paperback,4.5,8.53,$,11.5,9781408878729,Biography,dataset/Biography/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9781846041242,Biography,dataset/Biography/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3455/9780345514400.jpg,I Know Why the Caged Bird Sings,Maya Angelou,Paperback,4.0,7.07,$,,9780345514400,Biography,dataset/Biography/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7303/9780730324218.jpg,The Barefoot Investor,Scott Pape,Paperback,4.5,14.06,$,17.6,9780730324218,Business-Finance-Law,dataset/Business-Finance-Law/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4391/9781439199190.jpg,How to Win Friends and Influence People,Dale Carnegie,Paperback,4.0,8.3,$,9.5,9781439199190,Business-Finance-Law,dataset/Business-Finance-Law/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4.0,11.5,$,15.0,9780141033570,Business-Finance-Law,dataset/Business-Finance-Law/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241958223.jpg,Start With Why,Simon Sinek,Paperback,4.0,8.9,$,12.4,9780241958223,Business-Finance-Law,dataset/Business-Finance-Law/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9781846041242,Business-Finance-Law,dataset/Business-Finance-Law/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241257401.jpg,Daring Greatly,Brene Brown,Paperback,4.5,9.6,$,12.4,9780241257401,Business-Finance-Law,dataset/Business-Finance-Law/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0605/9780060555665.jpg,The Intelligent Investor,Benjamin Graham,Paperback,4.0,15.99,$,25.2,9780060555665,Business-Finance-Law,dataset/Business-Finance-Law/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785042140.jpg,Dare to Lead,Brene Brown,Paperback,4.0,13.09,$,16.0,9781785042140,Business-Finance-Law,dataset/Business-Finance-Law/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4169/9781416947370.jpg,Dear Zoo,Rod Campbell,Board book,4.5,6.76,$,,9781416947370,Childrens-Books,dataset/Childrens-Books/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2410/9780241003008.jpg,The Very Hungry Caterpillar,Eric Carle,Board book,4.5,7.23,$,8.8,9780241003008,Childrens-Books,dataset/Childrens-Books/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1520/9780152067045.jpg,Where Is the Green Sheep?,Judy Horacek,Board book,4.0,7.98,$,,9780152067045,Childrens-Books,dataset/Childrens-Books/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8412/9781841215655.jpg,Giraffes Can't Dance,Giles Andreae,Paperback,4.5,7.30,$,8.8,9781841215655,Childrens-Books,dataset/Childrens-Books/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780671062.jpg,Secret Garden,Johanna Basford,Paperback,4.5,11.24,$,12.4,9781780671062,Childrens-Books,dataset/Childrens-Books/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8532/9781853261589.jpg,The Little Prince,Antoine de Saint-Exupery,Paperback,4.5,3.19,$,,9781853261589,Childrens-Books,dataset/Childrens-Books/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9960/9780996099936.jpg,Have You Filled A Bucket Today?,Carol McCloud,Paperback,4.5,8.66,$,11.4,9780996099936,Childrens-Books,dataset/Childrens-Books/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751565355.jpg,Harry Potter and the Cursed Child - Parts I & II,J. K. Rowling,Hardback,3.5,15.43,$,26.3,9780751565355,Childrens-Books,dataset/Childrens-Books/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1323/9780132350884.jpg,Clean Code,Robert C. Martin,Paperback,4.5,26.56,$,44.93,9780132350884,Computing,dataset/Computing/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6165/9781616550417.jpg,The Legend of Zelda,Shigeru Miyamoto,Hardback,4.5,27.56,$,40.0,9781616550417,Computing,dataset/Computing/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3219/9780321965516.jpg,"Don't Make Me Think, Revisited",Steve Krug,Paperback,4.0,23.03,$,42.9,9780321965516,Computing,dataset/Computing/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4650/9780465026562.jpg,"Godel, Escher, Bach",Douglas R. Hofstadter,Paperback,4.5,16.37,$,18.99,9780465026562,Computing,dataset/Computing/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1987/9780198739838.jpg,Superintelligence,Nick Bostrom,Paperback,4.0,9.93,$,12.4,9780198739838,Computing,dataset/Computing/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1189/9781118907443.jpg,"Web Design with HTML, CSS, JavaScript and jQuery Set",Jon Duckett,Paperback,4.5,29.93,$,49.6,9781118907443,Computing,dataset/Computing/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9847/9780984782857.jpg,Cracking the Coding Interview,Gayle Laakmann McDowell,Paperback,4.5,33.99,$,40.1,9780984782857,Computing,dataset/Computing/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5854/9781585428816.jpg,The Internet is a Playground,David Thorne,Paperback,4.0,15.09,$,,9781585428816,Computing,dataset/Computing/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780674872.jpg,Enchanted Forest,Johanna Basford,Paperback,4.5,12.23,$,12.4,9781780674872,Crafts-Hobbies,dataset/Crafts-Hobbies/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7837/9781783705481.jpg,Harry Potter Colouring Book,J. K. Rowling,Paperback,4.5,9.52,$,12.4,9781783705481,Crafts-Hobbies,dataset/Crafts-Hobbies/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7869/9780786965601.jpg,Dungeons & Dragons Player's Handbook (Dungeons & Dragons Core Rulebooks),Wizards of the Coast,Hardback,4.5,31.94,$,48.4,9780786965601,Crafts-Hobbies,dataset/Crafts-Hobbies/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4.0,6.8,$,10.5,9780752265629,Crafts-Hobbies,dataset/Crafts-Hobbies/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8118/9780811870191.jpg,One Line a Day,Chronicle Books,Calendar,4.5,9.65,$,13.5,9780811870191,Crafts-Hobbies,dataset/Crafts-Hobbies/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849941679.jpg,Millie Marotta's Animal Kingdom,Millie Marotta,Paperback,4.5,11.6,$,12.9,9781849941679,Crafts-Hobbies,dataset/Crafts-Hobbies/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7869/9780786965625.jpg,Dungeon Master's Guide (Dungeons & Dragons Core Rulebooks),Wizards of the Coast,Hardback,4.5,32.9,$,48.4,9780786965625,Crafts-Hobbies,dataset/Crafts-Hobbies/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8495/9781849534970.jpg,52 Things to Do While You Poo,Hugh Jassburn,Hardback,3.5,7.93,$,8.8,9781849534970,Crafts-Hobbies,dataset/Crafts-Hobbies/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141036144.jpg,1984,George Orwell,Paperback,4.0,7.88,$,8.8,9780141036144,Crime-Thriller,dataset/Crime-Thriller/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9781846041242,Crime-Thriller,dataset/Crime-Thriller/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141036137.jpg,Animal Farm,George Orwell,Paperback,4.0,7.98,$,10.3,9780141036137,Crime-Thriller,dataset/Crime-Thriller/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405911665.jpg,The Husband's Secret,Liane Moriarty,Paperback,4.0,9.33,$,9.99,9781405911665,Crime-Thriller,dataset/Crime-Thriller/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7802/9781780221359.jpg,Gone Girl,Gillian Flynn,Paperback,4.0,9.55,$,10.5,9781780221359,Crime-Thriller,dataset/Crime-Thriller/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099560432.jpg,Ready Player One,Ernest Cline,Paperback,4.5,8.82,$,10.5,9780099560432,Crime-Thriller,dataset/Crime-Thriller/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349142111.jpg,The Dry,Jane Harper,Paperback,4.0,8.64,$,8.8,9780349142111,Crime-Thriller,dataset/Crime-Thriller/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7499/9780749942014.jpg,Sister,Rosamund Lupton,Paperback,4.0,8.04,$,11.4,9780749942014,Crime-Thriller,dataset/Crime-Thriller/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509868087.jpg,Bad Blood,John Carreyrou,Paperback,4.5,8.4,$,12.4,9781509868087,Dictionaries-Languages,dataset/Dictionaries-Languages/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2053/9780205309023.jpg,The Elements of Style,William I. Strunk,Paperback,4.0,8.09,$,9.95,9780205309023,Dictionaries-Languages,dataset/Dictionaries-Languages/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6924/9780692452745.jpg,Create This Book,Moriah Elizabeth,Paperback,4.5,17.05,$,,9780692452745,Dictionaries-Languages,dataset/Dictionaries-Languages/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0072/9780007204496.jpg,Fear and Loathing in Las Vegas,Hunter S. Thompson,Paperback,4.0,8.3,$,11.49,9780007204496,Dictionaries-Languages,dataset/Dictionaries-Languages/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4338/9781433805615.jpg,Publication Manual of the American Psychological Association,American Psychological Association,Paperback,3.5,30.49,$,,9781433805615,Dictionaries-Languages,dataset/Dictionaries-Languages/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7857/9781785781704.jpg,The Etymologicon,Mark Forsyth,Paperback,4.0,5.71,$,11.4,9781785781704,Dictionaries-Languages,dataset/Dictionaries-Languages/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509829477.jpg,The Artist's Way,Julia Cameron,Paperback,4.0,12.61,$,21.1,9781509829477,Dictionaries-Languages,dataset/Dictionaries-Languages/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7857/9781785781728.jpg,The Elements of Eloquence,Mark Forsyth,Paperback,4.5,4.91,$,11.4,9781785781728,Dictionaries-Languages,dataset/Dictionaries-Languages/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408708989.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Hardback,4.5,11.05,$,21.5,9781408708989,Entertainment,dataset/Entertainment/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408711705.jpg,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,Hardback,4.0,15.14,$,18.0,9781408711705,Entertainment,dataset/Entertainment/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7475/9780747568766.jpg,Just Kids,Patti Smith,Paperback,4.0,9.43,$,12.4,9780747568766,Entertainment,dataset/Entertainment/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471157790.jpg,Born to Run,Bruce Springsteen,Hardback,4.0,27.12,$,,9781471157790,Entertainment,dataset/Entertainment/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969423.jpg,"Music Theory in Practice, Grade 1",Eric Taylor,Sheet music,4.0,7.26,$,,9781860969423,Entertainment,dataset/Entertainment/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751535662.jpg,Scar Tissue,Anthony Kiedis,Paperback,4.0,10.66,$,13.9,9780751535662,Entertainment,dataset/Entertainment/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8771/9780877180128.jpg,John Thompson's Easiest Piano Course,John Thompson,Paperback,4.0,6.71,$,8.0,9780877180128,Entertainment,dataset/Entertainment/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751574951.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Paperback,4.5,7.10,$,10.5,9780751574951,Entertainment,dataset/Entertainment/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785031168.jpg,Ottolenghi SIMPLE,Yotam Ottolenghi,Hardback,4.5,28.6,$,31.5,9781785031168,Food-Drink,dataset/Food-Drink/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718187729.jpg,5 Ingredients - Quick & Easy Food,Jamie Oliver,Hardback,4.0,25.92,$,32.5,9780718187729,Food-Drink,dataset/Food-Drink/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718154776.jpg,Jamie's 30-Minute Meals,Jamie Oliver,Hardback,4.0,27.39,$,31.5,9780718154776,Food-Drink,dataset/Food-Drink/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718157807.jpg,Jamie's 15-Minute Meals,Jamie Oliver,Hardback,4.0,27.3,$,31.5,9780718157807,Food-Drink,dataset/Food-Drink/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283912.jpg,The Little Book of Hygge,Meik Wiking,Hardback,3.5,11.61,$,11.99,9780241283912,Food-Drink,dataset/Food-Drink/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091933685.jpg,Plenty,Yotam Ottolenghi,Hardback,4.5,30.27,$,33.11,9780091933685,Food-Drink,dataset/Food-Drink/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091924850.jpg,Annabel Karmel's New Complete Baby & Toddler Meal Planner - 4th Edition,Annabel Karmel,Hardback,4.0,17.11,$,19.1,9780091924850,Food-Drink,dataset/Food-Drink/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091943745.jpg,Jerusalem,Yotam Ottolenghi,Hardback,4.5,30.63,$,32.5,9780091943745,Food-Drink,dataset/Food-Drink/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4093/9781409303183.jpg,Peppa Pig: Little Library,Peppa Pig,Board book,4.0,7.22,$,,9781409303183,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4063/9781406338539.jpg,I Want My Hat Back,Jon Klassen,Paperback,4.5,7.03,$,9.5,9781406338539,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1424/9780142403877.jpg,The Gruffalo,Julia Donaldson,Paperback,4.5,6.91,$,7.95,9780142403877,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4424/9781442408937.jpg,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Saenz,Paperback,4.5,7.72,$,15.0,9781442408937,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4095/9781409550259.jpg,Look Inside Things That Go,Rob Lloyd Jones,Hardback,4.5,9.92,$,12.9,9781409550259,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/3140/9783314015441.jpg,Rainbow Fish,Marcus Pfister,Paperback,4.0,7.12,$,8.8,9783314015441,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000006.jpg
